"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CRI","DOCCONSULT","TOT","CAP","A","1986",2.199,
"CRI","DOCCONSULT","TOT","CAP","A","1987",2.17,
"CRI","DOCCONSULT","TOT","CAP","A","1988",2.075,
"CRI","DOCCONSULT","TOT","CAP","A","1989",2.01,
"CRI","DOCCONSULT","TOT","CAP","A","1990",1.983,
"CRI","DOCCONSULT","TOT","CAP","A","1991",1.985,
"CRI","DOCCONSULT","TOT","CAP","A","1992",1.965,
"CRI","DOCCONSULT","TOT","CAP","A","1993",1.927,
"CRI","DOCCONSULT","TOT","CAP","A","1994",1.928,
"CRI","DOCCONSULT","TOT","CAP","A","1995",1.975,
"CRI","DOCCONSULT","TOT","CAP","A","1996",2.044,
"CRI","DOCCONSULT","TOT","CAP","A","1997",2.125,
"CRI","DOCCONSULT","TOT","CAP","A","1998",2.167,
"CRI","DOCCONSULT","TOT","CAP","A","1999",2.18,
"CRI","DOCCONSULT","TOT","CAP","A","2000",2.052,
"CRI","DOCCONSULT","TOT","CAP","A","2001",2.086,
"CRI","DOCCONSULT","TOT","CAP","A","2002",2.202,
"CRI","DOCCONSULT","TOT","CAP","A","2003",2.248,
"CRI","DOCCONSULT","TOT","CAP","A","2004",2.299,
"CRI","DOCCONSULT","TOT","CAP","A","2005",2.314,
"CRI","DOCCONSULT","TOT","CAP","A","2006",2.267,
"CRI","DOCCONSULT","TOT","CAP","A","2007",2.233,
"CRI","DOCCONSULT","TOT","CAP","A","2008",2.259,
"CRI","DOCCONSULT","TOT","CAP","A","2009",2.3,
"CRI","DOCCONSULT","TOT","CAP","A","2010",2.342,
"CRI","DOCCONSULT","TOT","CAP","A","2011",2.338,
"CRI","DOCCONSULT","TOT","CAP","A","2012",2.384,
"CRI","DOCCONSULT","TOT","CAP","A","2013",2.372,
"CRI","DOCCONSULT","TOT","CAP","A","2014",2.331,
"CRI","DOCCONSULT","TOT","CAP","A","2015",2.31,
"CRI","DOCCONSULT","TOT","CAP","A","2016",2.247,
"CRI","DOCCONSULT","TOT","CAP","A","2017",2.228,
"CRI","DOCCONSULT","TOT","CAP","A","2018",2.224,
"CRI","DOCCONSULT","TOT","CAP","A","2019",2.317,
"CRI","DOCCONSULT","TOT","CAP","A","2020",1.933,
"CRI","DOCCONSULT","TOT","CAP","A","2021",2.097,
"CRI","DOCCONSULT","TOT","CAP","A","2022",2.278,
"BGR","DOCCONSULT","TOT","CAP","A","1980",6.5,
"BGR","DOCCONSULT","TOT","CAP","A","1981",6.5,
"BGR","DOCCONSULT","TOT","CAP","A","1982",6.8,
"BGR","DOCCONSULT","TOT","CAP","A","1983",7,
"BGR","DOCCONSULT","TOT","CAP","A","1984",7.2,
"BGR","DOCCONSULT","TOT","CAP","A","1985",7.3,
"BGR","DOCCONSULT","TOT","CAP","A","1986",7.6,
"BGR","DOCCONSULT","TOT","CAP","A","1987",7.5,
"BGR","DOCCONSULT","TOT","CAP","A","1988",7.4,
"BGR","DOCCONSULT","TOT","CAP","A","1989",7.2,
"BGR","DOCCONSULT","TOT","CAP","A","1990",6.6,
"BGR","DOCCONSULT","TOT","CAP","A","1991",5.6,
"BGR","DOCCONSULT","TOT","CAP","A","1992",5.8,
"BGR","DOCCONSULT","TOT","CAP","A","1993",5.5,
"BGR","DOCCONSULT","TOT","CAP","A","1994",5.5,
"BGR","DOCCONSULT","TOT","CAP","A","1995",5.5,
"BGR","DOCCONSULT","TOT","CAP","A","1996",5.9,
"BGR","DOCCONSULT","TOT","CAP","A","1997",5.7,
"BGR","DOCCONSULT","TOT","CAP","A","1998",5.5,
"BGR","DOCCONSULT","TOT","CAP","A","1999",5.4,
"BGR","DOCCONSULT","TOT","CAP","A","2014",5.9,
"BGR","DOCCONSULT","TOT","CAP","A","2015",5.9,
"BGR","DOCCONSULT","TOT","CAP","A","2016",6.1,
"BGR","DOCCONSULT","TOT","CAP","A","2017",6,
"BGR","DOCCONSULT","TOT","CAP","A","2018",6.3,
"BGR","DOCCONSULT","TOT","CAP","A","2019",6.3,
"BGR","DOCCONSULT","TOT","CAP","A","2020",5.4,
"BGR","DOCCONSULT","TOT","CAP","A","2021",5.7,
"HRV","DOCCONSULT","TOT","CAP","A","1980",6.89,
"HRV","DOCCONSULT","TOT","CAP","A","1985",7.9,
"HRV","DOCCONSULT","TOT","CAP","A","1986",8.05,
"HRV","DOCCONSULT","TOT","CAP","A","1987",6.43,
"HRV","DOCCONSULT","TOT","CAP","A","1988",8.15,
"HRV","DOCCONSULT","TOT","CAP","A","1989",8.12,
"HRV","DOCCONSULT","TOT","CAP","A","1990",8.24,
"HRV","DOCCONSULT","TOT","CAP","A","1991",5.77,
"HRV","DOCCONSULT","TOT","CAP","A","1992",4.44,
"HRV","DOCCONSULT","TOT","CAP","A","1993",5.75,
"HRV","DOCCONSULT","TOT","CAP","A","1994",5.82,
"HRV","DOCCONSULT","TOT","CAP","A","1995",4.8,
"HRV","DOCCONSULT","TOT","CAP","A","1996",5.76,
"HRV","DOCCONSULT","TOT","CAP","A","1997",6.08,
"HRV","DOCCONSULT","TOT","CAP","A","1998",6.51,
"HRV","DOCCONSULT","TOT","CAP","A","1999",6.61,
"HRV","DOCCONSULT","TOT","CAP","A","2000",7,
"HRV","DOCCONSULT","TOT","CAP","A","2001",7.46,
"HRV","DOCCONSULT","TOT","CAP","A","2002",7.49,
"HRV","DOCCONSULT","TOT","CAP","A","2003",7.58,
"HRV","DOCCONSULT","TOT","CAP","A","2004",7.59,
"HRV","DOCCONSULT","TOT","CAP","A","2005",6.92,
"HRV","DOCCONSULT","TOT","CAP","A","2006",6.43,
"HRV","DOCCONSULT","TOT","CAP","A","2007",6.37,
"HRV","DOCCONSULT","TOT","CAP","A","2008",5.95,
"HRV","DOCCONSULT","TOT","CAP","A","2009",6.36,
"HRV","DOCCONSULT","TOT","CAP","A","2010",6.07,
"HRV","DOCCONSULT","TOT","CAP","A","2011",6.01,
"HRV","DOCCONSULT","TOT","CAP","A","2012",6.85,
"HRV","DOCCONSULT","TOT","CAP","A","2013",6.08,
"HRV","DOCCONSULT","TOT","CAP","A","2014",6.26,
"HRV","DOCCONSULT","TOT","CAP","A","2015",6.8,
"HRV","DOCCONSULT","TOT","CAP","A","2016",6.35,
"HRV","DOCCONSULT","TOT","CAP","A","2017",6.47,
"HRV","DOCCONSULT","TOT","CAP","A","2018",6.73,
"HRV","DOCCONSULT","TOT","CAP","A","2019",6.5,
"HRV","DOCCONSULT","TOT","CAP","A","2020",5.07,
"HRV","DOCCONSULT","TOT","CAP","A","2021",5.98,
"ROU","DOCCONSULT","TOT","CAP","A","1980",4.9,
"ROU","DOCCONSULT","TOT","CAP","A","1985",5,
"ROU","DOCCONSULT","TOT","CAP","A","1986",5.4,
"ROU","DOCCONSULT","TOT","CAP","A","1987",5.4,
"ROU","DOCCONSULT","TOT","CAP","A","1988",5.5,
"ROU","DOCCONSULT","TOT","CAP","A","1989",5.4,
"ROU","DOCCONSULT","TOT","CAP","A","1990",4.6,
"ROU","DOCCONSULT","TOT","CAP","A","1991",4.1,
"ROU","DOCCONSULT","TOT","CAP","A","1992",4.4,
"ROU","DOCCONSULT","TOT","CAP","A","1993",4.5,
"ROU","DOCCONSULT","TOT","CAP","A","1994",4.5,
"ROU","DOCCONSULT","TOT","CAP","A","1995",4.5,
"ROU","DOCCONSULT","TOT","CAP","A","1996",4.5,
"ROU","DOCCONSULT","TOT","CAP","A","1997",4.2,
"ROU","DOCCONSULT","TOT","CAP","A","1998",4,
"ROU","DOCCONSULT","TOT","CAP","A","1999",3.8,
"ROU","DOCCONSULT","TOT","CAP","A","2000",3.6,
"ROU","DOCCONSULT","TOT","CAP","A","2001",3.8,
"ROU","DOCCONSULT","TOT","CAP","A","2002",4.2,
"ROU","DOCCONSULT","TOT","CAP","A","2003",4.1,
"ROU","DOCCONSULT","TOT","CAP","A","2004",4.5,
"ROU","DOCCONSULT","TOT","CAP","A","2005",4.8,
"ROU","DOCCONSULT","TOT","CAP","A","2006",5,
"ROU","DOCCONSULT","TOT","CAP","A","2007",4.9,
"ROU","DOCCONSULT","TOT","CAP","A","2008",5.1,
"ROU","DOCCONSULT","TOT","CAP","A","2009",5.2,
"ROU","DOCCONSULT","TOT","CAP","A","2010",5,
"ROU","DOCCONSULT","TOT","CAP","A","2011",4.8,
"ROU","DOCCONSULT","TOT","CAP","A","2012",4.9,
"ROU","DOCCONSULT","TOT","CAP","A","2013",4.8,
"ROU","DOCCONSULT","TOT","CAP","A","2014",5.3,
"ROU","DOCCONSULT","TOT","CAP","A","2015",5.4,
"ROU","DOCCONSULT","TOT","CAP","A","2016",5,
"ROU","DOCCONSULT","TOT","CAP","A","2017",5,
"ROU","DOCCONSULT","TOT","CAP","A","2018",5.2,
"ROU","DOCCONSULT","TOT","CAP","A","2019",5.3,
"ROU","DOCCONSULT","TOT","CAP","A","2020",4.6,
"ROU","DOCCONSULT","TOT","CAP","A","2021",4.9,
